Family,Genus,Species,Binomial,X_For_Partition,Binomial_2,No_VF,RNA,DNA,Retro,Zoo,RWL,log_AR,AR,log_Forearm,Forearm,log_Mass,Mass,Pulse,sqrt_Rarea,Range_Area,Median_Y_Lat,Median_X_Long,Sympatry,log_Median,Group Size,Roost,Lifespan,Torpor,Diet_2,Migration,Status,Trend,sin_Citations,sin_No_Mixed,Residuals,PhyloClust56,PhyloClust41
Mormoopidae,Pteronotus,davyi,Pteronotus davyi,101,Pteronotus_davyi,2,1,1,0,1,36.08121507,0.919078092,8.299999993,1.654176542,45.10000001,1.025305865,10.59999999,1,1863.287417,3471839.998,10.0307999,-76.1397018,270,5.57054294,372000.0001,G,NA,T,Pred,NA,LC,S,3.466711038,2.312438341,112.5918055,PC3,PC13
Pteropodidae,Dobsonia,moluccensis,Dobsonia moluccensis,102,Dobsonia_moluccensis,2,1,1,0,1,47.8911323,0.832508913,6.800000005,2.156549151,143.3999999,2.5774918,378.0000001,1,199.4620304,39785.10157,-3.76544,129.9429932,64,NA,NA,G,NA,NT,Phyto,NA,LC,S,0.881373587,NA,-2.702430056,PC7,PC40
Pteropodidae,Pteropus,hypomelanus,Pteropus hypomelanus,103,Pteropus_hypomelanus,2,2,0,0,1,NA,NA,NA,2.100828725,126.1329999,2.591064607,390,1,724.0220991,524208,4.9310298,124.9369965,171,1.550228353,35.5,F,NA,NT,Phyto,NA,LC,D,4.248699261,NA,75.70044527,PC7,PC38
Pteropodidae,Pteropus,lylei,Pteropus lylei,104,Pteropus_lylei,2,1,1,0,1,NA,NA,NA,2.18110008,151.7400001,2.496929648,313.9999999,NA,326.8378803,106823,12.6780996,102.8639984,87,NA,NA,F,NA,NA,Phyto,NA,V,D,3.402306645,NA,13.35349761,PC7,PC38
Rhinolophidae,Rhinolophus,macrotis,Rhinolophus macrotis,105,Rhinolophus_macrotis,2,1,1,0,1,27.70597616,0.700703717,5.019999998,1.623145875,41.99000004,0.799340549,6.299999993,NA,1529.290685,2338729.999,24.4395008,101.6090012,228,NA,NA,G,NA,NA,Pred,NA,LC,S,2.99822295,NA,88.80010378,PC5,PC25
Vespertilionidae,Nyctalus,lasiopterus,Nyctalus lasiopterus,106,Nyctalus_lasiopterus,2,1,1,0,2,NA,NA,NA,1.806654724,64.07,1.662568967,45.98000001,NA,1708.051521,2917439.998,47.8149986,27.8943996,43,NA,NA,G,NA,NA,Pred,N,NT,D,4.094622224,NA,-105.9452928,PC1,PC1
Vespertilionidae,Nyctalus,leisleri,Nyctalus leisleri,107,Nyctalus_leisleri,2,1,1,0,2,75.2076019,0.897627091,7.899999995,1.635885685,43.23999997,1.095866453,12.46999999,1,2274.009675,5171120.002,46.5191994,21.4158993,86,NA,NA,G,NA,H,Pred,Y,LC,U,5.288292537,NA,-93.79929194,PC1,PC1
Vespertilionidae,Tylonycteris,pachypus,Tylonycteris pachypus,108,Tylonycteris_pachypus,2,1,1,0,2,46.8817113,0.744292983,5.549999998,1.411058245,25.76666701,0.681241237,4.799999996,1,2042.047992,4169960.002,11.7349997,104.9769974,262,NA,NA,C,NA,NA,Pred,NA,LC,U,3.466711038,NA,94.84642314,PC1,PC1
Phyllostomidae,Carollia,brevicauda,Carollia brevicauda,109,Carollia_brevicauda,2,2,0,0,2,49.52089301,0.740362689,5.499999994,1.604873771,40.26000004,1.171726454,14.85000001,2,3278.429502,10748100,-4.5596199,-59.976799,246,NA,NA,C,NA,NT,Phyto,NA,LC,S,4.159127135,NA,11.44335856,PC3,PC12
Pteropodidae,Cynopterus,brachyotis,Cynopterus brachyotis,110,Cynopterus_brachyotis,2,2,0,0,1,43.93959042,0.886490725,7.699999997,1.823257028,66.56670006,1.530199698,33.89999998,2,1642.979002,2699380.001,11.2021999,100.1780014,205,0.954242509,8.999999991,F,96,NT,Phyto,N,LC,U,4.852091293,NA,59.60222642,PC7,PC42
Pteropodidae,Micropteropus,pusillus,Micropteropus pusillus,111,Micropteropus_pusillus,2,2,0,0,2,45.59771293,NA,NA,1.721398376,52.65000006,1.399673721,25.09999997,2,2319.573237,5380420.002,3.38851,14.5232,162,0.740362689,5.499999994,F,NA,NA,Phyto,NA,LC,S,2.094712547,0,-20.28325315,PC7,PC41
Vespertilionidae,Myotis,nigricans,Myotis nigricans,112,Myotis_nigricans,2,2,0,0,2,37.80768375,0.812913357,6.500000005,1.526985069,33.65000003,0.662757832,4.600000003,3,3792.097045,14380000,-6.8471699,-60.4202995,293,3,1000,G,NA,T,Pred,N,LC,S,4.499933104,1.443635475,30.44005513,PC1,PC4
Vespertilionidae,Pipistrellus,pygmaeus,Pipistrellus pygmaeus,113,Pipistrellus_pygmaeus,2,1,1,0,1,NA,NA,NA,NA,NA,0.673941999,4.720000004,NA,1400.221411,1960620,48.7872009,10.6960001,42,NA,NA,NA,NA,NA,Pred,NA,LC,U,5.159088327,NA,-90.16350451,PC1,PC1
Vespertilionidae,Vespertilio,murinus,Vespertilio murinus,114,Vespertilio_murinus,2,2,0,0,2,45.18915547,0.84509804,7,1.651665604,44.84000001,1.522444234,33.30000004,1,3963.546392,15709700,48.8521004,69.3118973,79,1.740362689,54.99999994,G,144,H,Pred,Y,LC,S,4.700563,NA,-192.9067454,PC1,PC1
Molossidae,Molossus,rufus,Molossus rufus,115,Molossus_rufus,2,2,0,0,2,NA,NA,NA,1.703291378,50.49999999,1.323664536,21.07000002,2,3847.011827,14799500,-6.5771198,-61.1197014,299,2.423245874,265,G,NA,T,Pred,NA,LC,S,3.527224456,NA,33.44629911,PC1,PC7
Pteropodidae,Cynopterus,sphinx,Cynopterus sphinx,116,Cynopterus_sphinx,2,1,1,0,1,45.05834467,0.826074803,6.700000005,1.854306042,71.50000003,1.713490543,51.69999999,2,2540.858123,6455960.001,18.1082001,91.4554977,253,0.301029996,2.000000002,G,NA,T,Phyto,NA,LC,I,5.723595781,NA,58.65309228,PC7,PC42
Phyllostomidae,Artibeus,lituratus,Artibeus lituratus,117,Artibeus_lituratus,2,2,0,0,1,45.31317706,0.785329835,6.1,1.847140617,70.32999993,1.748188027,56,2,3772.850381,14234400,-5.1255598,-61.7789001,305,1.021189299,10.5,G,NA,NT,Phyto,NA,LC,S,5.67676553,NA,43.4893139,PC3,PC12
Phyllostomidae,Glossophaga,soricina,Glossophaga soricina,118,Glossophaga_soricina,2,2,0,0,1,47.79920543,0.806179974,6.4,1.571708832,37.30000002,0.995635195,9.900000009,2,3854.646547,14858300,-5.00945,-62.5793991,315,3,1000,G,120,T,Phyto,N,LC,S,6.100323979,4.094622224,49.03008168,PC3,PC12
Emballonuridae,Saccolaimus,flaviventris,Saccolaimus flaviventris,119,Saccolaimus_flaviventris,1,1,0,0,1,42.62600894,0.916453949,8.250000009,1.875061263,74.99999993,1.655618584,45.25000005,2,2460.046748,6051830.002,-23.9312992,136.7319946,83,NA,NA,NA,NA,NA,Pred,NA,LC,D,2.094712547,NA,-106.9413628,PC4,PC23
Hipposideridae,Hipposideros,lekaguli,Hipposideros lekaguli,120,Hipposideros_lekaguli,1,1,0,0,1,NA,NA,NA,1.877889425,75.48999994,1.481442629,30.30000003,NA,309.8280143,95993.39845,11.2255001,104.7850037,124,NA,NA,CV,NA,NA,Pred,NA,NT,D,0.881373587,NA,51.28081421,PC5,PC27
Hipposideridae,Rhinonicteris,aurantia,Rhinonicteris aurantia,121,Rhinonicteris_aurantia,1,1,0,0,1,NA,NA,NA,1.678882415,47.74000004,0.934498451,8.599999995,1,864.5426537,747434.0001,-16.3834,129.4250031,35,NA,NA,G,NA,T,Pred,NA,LC,U,2.312438341,NA,-67.960229,PC5,PC32
Miniopteridae,Miniopterus,australis,Miniopterus australis,122,Miniopterus_australis,1,1,0,0,0,32.25810911,0.832508913,6.800000005,1.607455023,40.49999998,0.851258349,7.100000005,1,NA,NA,NA,NA,NA,0.397940009,2.500000002,G,NA,NA,Pred,Y,LC,S,2.893443986,1.818446459,NA,PC1,PC6
